epoch,32-bits (c),32-bits (b),8-bits (c),8-bits (b),4-bits (c),4-bits (b)
0 (acc.),92.9800,10.3200,92.9000,10.3400,88.3100,10.3400
0 (loss),0.3628,18.5247,0.3618,18.4855,0.6165,16.8753
1 (acc.),90.7700,42.4500,90.8400,42.2600,84.8700,83.9000
1 (loss),0.3066,1.1709,0.3060,1.1726,0.4631,0.3991
2 (acc.),91.2000,34.6300,91.1400,34.6800,87.8200,90.8600
2 (loss),0.3186,1.2640,0.3184,1.2579,0.4344,0.2884
3 (acc.),91.0800,41.4900,91.0500,42.1300,86.3200,95.7100
3 (loss),0.3495,1.0044,0.3522,0.9913,0.5032,0.1554
4 (acc.),90.6000,35.5800,90.5800,35.9200,86.1000,97.0500
4 (loss),0.3638,1.0376,0.3623,1.0325,0.5046,0.1159
5 (acc.),91.0700,38.2800,90.9400,39.8300,86.9900,97.1900
5 (loss),0.3853,0.9667,0.3872,0.9404,0.5279,0.0877
6 (acc.),90.8800,21.1400,90.8800,21.2000,87.6000,96.8700
6 (loss),0.3811,1.3273,0.3820,1.3234,0.4939,0.1165
7 (acc.),90.8500,29.6300,90.7800,29.2200,87.8000,96.8600
7 (loss),0.4049,1.0444,0.4063,1.0546,0.5318,0.1018
8 (acc.),90.0100,26.2300,90.0300,26.8900,87.3100,97.3100
8 (loss),0.4088,1.0894,0.4094,1.0789,0.5281,0.0950
9 (acc.),90.1400,40.3000,90.2000,40.9700,86.5200,98.6100
9 (loss),0.4071,0.8397,0.4083,0.8327,0.5330,0.0473
10 (acc.),91.4300,21.4500,91.4200,21.6100,89.3400,97.6700
10 (loss),0.3786,1.1621,0.3787,1.1525,0.4789,0.0842
11 (acc.),90.3900,23.3800,90.4200,23.4400,88.4000,97.6600
11 (loss),0.4373,1.0921,0.4387,1.0928,0.5185,0.0875
12 (acc.),89.7800,27.0300,89.8100,26.5500,86.4400,97.8600
12 (loss),0.4671,0.9938,0.4663,1.0029,0.6207,0.0806
13 (acc.),91.5700,30.5100,91.5200,30.9700,88.7600,98.1900
13 (loss),0.3916,0.9010,0.3903,0.8998,0.4914,0.0502
14 (acc.),90.6400,24.6400,90.6200,24.6000,87.9200,97.6000
14 (loss),0.4466,1.0156,0.4478,1.0199,0.5451,0.0696
15 (acc.),90.9200,20.8200,90.9300,21.1400,88.7500,96.9700
15 (loss),0.4345,1.1258,0.4351,1.1154,0.5132,0.0942
16 (acc.),90.8100,26.7500,90.7700,27.2800,88.2900,97.9500
16 (loss),0.4039,0.9996,0.4045,0.9863,0.4929,0.0517
17 (acc.),91.2500,21.8500,91.1700,21.6300,89.3200,97.9800
17 (loss),0.4192,1.0331,0.4224,1.0445,0.4979,0.0530
18 (acc.),90.7000,29.0500,90.7400,29.1800,88.2900,97.7600
18 (loss),0.4413,0.8836,0.4426,0.8835,0.5519,0.0516
19 (acc.),91.7100,19.7300,91.7600,19.8400,90.1400,97.1900
19 (loss),0.3991,1.0905,0.3988,1.0834,0.4641,0.0707
20 (acc.),90.3600,22.6900,90.3000,22.3500,87.8700,97.5100
20 (loss),0.4324,0.9999,0.4323,1.0061,0.5252,0.0550
21 (acc.),90.8100,24.8700,90.8500,25.0000,88.2300,98.0600
21 (loss),0.4364,0.9347,0.4347,0.9369,0.5227,0.0525
22 (acc.),90.2600,22.7600,90.2600,22.6000,87.4900,98.4700
22 (loss),0.4616,0.9011,0.4628,0.9031,0.5622,0.0427
23 (acc.),91.3600,21.3300,91.3500,21.1900,89.4800,97.8500
23 (loss),0.4118,1.0611,0.4121,1.0660,0.4912,0.0599
24 (acc.),90.6400,27.0700,90.7500,27.0400,88.2000,99.5300
24 (loss),0.4860,0.8834,0.4853,0.8890,0.5674,0.0183
25 (acc.),91.2900,26.5200,91.3500,26.9900,88.9000,98.8700
25 (loss),0.4463,0.8963,0.4474,0.8875,0.5681,0.0261
26 (acc.),91.6400,24.6300,91.5100,25.1300,88.9900,98.9500
26 (loss),0.4254,0.9181,0.4265,0.9033,0.5182,0.0277
27 (acc.),91.3400,18.9900,91.3500,18.9900,88.5700,99.1800
27 (loss),0.4203,1.0549,0.4212,1.0508,0.5264,0.0247
28 (acc.),90.2500,20.8800,90.2100,20.9300,88.3600,97.6300
28 (loss),0.4647,1.0201,0.4654,1.0201,0.5606,0.0723
29 (acc.),91.3000,21.4200,91.2200,21.6300,89.2700,98.1500
29 (loss),0.4284,1.0062,0.4277,0.9939,0.5231,0.0448
30 (acc.),91.2500,17.9600,91.3800,17.8900,89.3500,98.0700
30 (loss),0.3992,1.0829,0.3998,1.0886,0.4866,0.0474
31 (acc.),91.4900,22.3100,91.5400,22.1700,89.4300,97.8500
31 (loss),0.4037,0.9505,0.4057,0.9541,0.4925,0.0591
32 (acc.),91.0000,24.1500,91.0200,24.1700,89.1900,98.3800
32 (loss),0.4433,0.9449,0.4442,0.9441,0.5118,0.0393
33 (acc.),90.0100,28.5000,89.9200,29.1800,87.4400,99.2200
33 (loss),0.5314,0.8001,0.5327,0.7883,0.6409,0.0178
34 (acc.),91.8700,17.9200,91.8200,17.8100,89.8800,97.8100
34 (loss),0.4318,1.1533,0.4319,1.1646,0.5158,0.0531
35 (acc.),92.0400,23.9200,92.0300,23.8600,90.0400,98.8200
35 (loss),0.4296,0.9149,0.4294,0.9200,0.5046,0.0275
36 (acc.),91.4800,18.6900,91.5300,18.7500,89.9100,98.2600
36 (loss),0.4022,1.0546,0.4016,1.0519,0.4770,0.0481
37 (acc.),91.2900,24.3700,91.3300,24.4400,88.6800,99.1200
37 (loss),0.4912,0.9115,0.4889,0.9117,0.5859,0.0188
38 (acc.),91.3000,18.2800,91.3400,18.5800,89.7500,97.7900
38 (loss),0.4309,1.0705,0.4308,1.0569,0.5023,0.0626
39 (acc.),92.0700,18.7200,92.0800,19.2900,90.6300,98.7200
39 (loss),0.4291,1.0200,0.4295,0.9999,0.4866,0.0293
40 (acc.),92.2300,19.5600,92.1900,19.5500,89.9300,99.3600
40 (loss),0.4151,1.0206,0.4159,1.0321,0.5138,0.0176
41 (acc.),91.5200,22.5000,91.5700,22.3200,89.3500,98.0100
41 (loss),0.4591,0.9189,0.4587,0.9251,0.5560,0.0491
42 (acc.),91.3300,20.4100,91.3800,20.5200,89.0900,99.1200
42 (loss),0.4469,1.0124,0.4468,1.0104,0.5340,0.0194
43 (acc.),92.2500,18.6700,92.2600,18.5800,90.3300,99.2500
43 (loss),0.4318,1.0112,0.4290,1.0147,0.5047,0.0202
44 (acc.),91.1300,22.1300,91.0400,22.8000,89.2000,99.0600
44 (loss),0.4553,0.9496,0.4563,0.9255,0.5343,0.0238
45 (acc.),91.6500,29.7800,91.6100,31.6800,89.1800,99.3900
45 (loss),0.4422,0.7810,0.4437,0.7682,0.5270,0.0188
46 (acc.),90.8800,19.0700,90.8400,19.6800,89.1300,99.2800
46 (loss),0.4514,1.0257,0.4521,0.9961,0.5422,0.0177
47 (acc.),91.6600,26.2900,91.6600,29.0900,89.7300,99.7300
47 (loss),0.4647,0.8555,0.4661,0.8196,0.5627,0.0108
48 (acc.),91.3900,15.5100,91.3600,15.8900,89.6000,98.6400
48 (loss),0.4349,1.1728,0.4356,1.1371,0.5216,0.0605
49 (acc.),90.9000,21.7900,90.9700,23.1000,88.9200,99.7800
49 (loss),0.4456,0.9410,0.4464,0.9093,0.5350,0.0069
50 (acc.),91.5600,18.4300,91.5400,18.7300,89.6100,99.0600
50 (loss),0.4306,1.0508,0.4318,1.0270,0.5076,0.0229
